company,position,skill
피엠인터내셔널코리아,이머커스/백오피스 시스템개발(11~15년),"SQL, NoSql, MSA, AWS, Azure, DevOps"
미리비트,DSP서비스 구축 엔지니어,"KS, SQL, Helm"
벳플럭스,Django 백엔드 개발자,"Django, REST, framework, Celery, WebSocket"
미리비트,빅데이터 엔지니어(5년이상),"Hadoop, Kubernetes, BigData, Spark, Apache, Flink"
이지식스(엠블),MVL [TADA] Backend Engineer 채용,"TypeScript, NestJS, Nodejs, SQL, Kotlin, Spring, Framework, gRPC, Docker, KS"
안전집사,풀스택 개발자,"Java, Spring, Boot, MongoDB, Flutter, React, Native"
두다지,저작권 보호 서비스 개발  및 운영,"Python, Docker, JavaScript, HTML, Kubernetes, Java"
팬택씨앤아이,인사(HR)시스템 운영 및 유지보수,"Java, Spring, Framework, Oracle, React"
센트비,Backend Engineer (Java/Kotlin),"Kotlin, Java, Spring, Boot, Framework, Git, GitHub, AWS, SQL, Linux, Kubernetes, Docker"
아이파킹,클라우드 Java 백엔드 개발자 채용,"Java, Spring, Boot, NoSql, REST, API"
위볼린,백엔드 경력자 채용[주니어],"PHP, DB, Git, Composer, Java, Spring, Boot"
네일톡톡,"백엔드 개발자 모집 (Java/Kotlin, Spring)","Java, Kotlin, Spring, Boot"
데이터메이커,백엔드 개발자 (11년 ~ 15년),"Django, REST, framework, MySQL, Rails, API, Nodejs, Spring, Python, Oracle, PostgreSQL"
커넥트웨이브,[다나와개발본부] Search Engineer,"Python, Django, FastAPI, Java, Kotlin, Spring, NoSql, Docker, Kubernetes, SQL"
빗썸코리아,컴플라이언스 시스템 개발(3년↑),"Java, Spring, Boot, Security, Batch, Kafka, Redis, Oracle, MySQL, QueryDSL, Gradle, ELK"
빗썸코리아,블록체인 기술 개발 (주니어),"Blockchain, Java, Jira, Confluence, Git"
펫박스,프론트엔드 개발자_8년 이상,"React, REST, API, HTML, Native, Vuejs, axios, CSS"
펫박스,Python 백엔드 개발자_6년~8년,"MySQL, PHP, Python, Selenium, CodeIgniter, AWS"
유진로봇,백엔드(Back-end)개발자(경력 7년이상),"JavaScript, Network, RDB, NoSql, Nodejs, Linux"
학교종이,백엔드 엔지니어 (1년 이상),"Nodejs, ExpressJS, TypeScript, MySQL, PostgreSQL, Docker, Kubernetes, Google, Cloud, Platform, Travis, CI, GitHub"
