company,position,skill
(주)컨두잇,백엔드 개발자,"Java, Spring, Boot, PostgreSQL, JPA, AWS, JUnit, Mockito, Git"
CLASS101,백엔드 개발자,"Java, Kotlin, Spring, Boot, Kubernetes, TypeScript, Nodejs"
크몽,Backend Kotlin Developer (5-12년),"Kotlin, Java"
콘센트릭스 Catalyst,Adobe AEM 개발 전문가,"JSP, Java"
효성에프엠에스,효성에프엠에스 백엔드 개발자채용,"Python, AWS, TDD"
와탭랩스,데브옵스 엔지니어(DevOps Engineer),"AWS, Shell, Script, Java, Kubernetes"
브랜드 인게이지먼트 네트워크 인크,AI 음성 인식 개발자,"Swift, Docker, websockets, grpc, rabbitmq"
오비맥주,Data Sr. Engineer,"Python, SQL, Java, AWS, Azure, Google, Cloud, Platform"
베링랩,NLP 개발자,"NLP, PyTorch, transformer"
SK(주) C&C,[SK(주) C&C 자회사_Ackerton Partners] ERP 컨설턴트 모집(정규직),IT
(주)블록체인글로벌,시니어 백엔드 개발자(과장급/7년 이상),"Java, Spring, MySQL, Kotlin, backend, Kubernetes"
코웨이(주),[코웨이] ERP팀(SAP컨설턴트) 경력직 채용,HR
이수시스템,[이수시스템] 인사솔루션 개발자,"Java, JavaScript, Oracle, JSP, Spring, Vuejs"
21세기전파상,백엔드 개발자,"Git, Github, MySQL, SQL, React, Native, JavaScript, Nodejs, AWS"
런치팩 주식회사,[런치팩] 테마 프론트엔드 개발(시니어),Vuejs
(주)써머스플랫폼,[스마트택배] 스윗트래커CIC_인프라 담당 채용,"AWS, Linux"
테이퍼랩스,Front-end Engineer,"Swift, Flutter, Python, openai, NLP, AI"
(주)비와이엔블랙야크,[BYN블랙야크] IT 부문 경력직 상시 인재 pool 등록,"Java, AWS, React, SQL, Spring, Boot, Nodejs, MySQL, Docker, Kotlin, Vuejs"
이지케어텍(주),[의료IT] 인프라 엔지니어 경력 채용,"Microsoft, Windows, Linux"
브랜드 인게이지먼트 네트워크 인크,AI 음성 합성 개발자,"Swift, Docker, websockets, grpc, rabbitmq"
HB TECHNOLOGY,Computer Vision(2D/3D) SW개발,"OpenCV, C, C++, mlops, CUDA, Python"
스윗코리아,프론트엔드 개발자 (Front-end Developer),Angular
하이프로토콜,[Web3] 크로스체인 프로토콜 백엔드 시니어 개발자 채용,"TypeScript, Express, DBMSRDBMS, PostgreSQL, AWS, awsserverless, Redis, websockets"
안전성평가솔루션(주),"JAVA, 프론트 & 백엔드 선임 개발자(정규직)","Java, Spring, Boot"
소명소프트(주),중급 JAVA 개발자  인재채용,"Java, JSP, SQL, Spring, MySQL, MariaDB, Github"
데일리펀딩,프론트엔드 개발자,"React, Java, HTMLCSS, Git, TypeScript, Sass, Nextjs"
(주)디에스랩글로벌,데이터 분석가,"Python, Google, Analytics, Firebase"
콘센트릭스 Catalyst,데이터분석가,"Google, Analytics, Python, SQL"
맨파워그룹코리아,데이터 사이언티스트,"Python, R, Azure, Bootstrap, Principle"
휴레이포지티브,프론트엔드 개발자 (Lead),"TypeScript, Tensorflow, JavaScript, React, vue, Angular"
(주)쓰리뷰,프론트엔드 개발자 모집,"C#, NET, MSSQL, MySQL, Java, Swift, Flutter"
(주)리코,Sr. Developer,"Vuejs, TypeScript, Kotlin, Spring, Boot, JPA, querydsl, AWS, Docker, junit"
(주)윙크스톤파트너스,웹 퍼블리셔,"HTMLCSS, JavaScript, jQuery, VSCode, Git, Figma"
이지식스(엠블),[TADA] Android Engineer,"Kotlin, Android, MVVM, RxJava"
인라이플,Java개발 팀장,"Java, Vuejs, api, MySQL, Spring, Boot, mybatis, MariaDB"
베링랩,리드 NLP 개발자,"NLP, transformer, PyTorch, LLM"
(주)스플랩,[인재풀] Backend Developer,"Java, Kotlin, Spring, Boot, JPA, JUnit, AWS, MySQL, Redis, GitHub"
주식회사 원더베리,소프트웨어 엔지니어,"C, C++, Unity, Unreal, Engine"
주식회사 브룩허스트거라지,Full Stack Software Engineer,"REST, API, React, Vuejs, JavaScript, robot, Python, C, C++"
데일리펀딩,백엔드 개발자,"Python, MySQL, PostgreSQL, REST, API, Github, PHP"
(주)다날,다날 결제시스템 BE개발 경력 채용,"Java, springframework, Spring, Boot, Batch, REST, API, MySQL, MSSQL, PostgreSQL"
(주)디에스랩글로벌,프론트엔드 개발자,"React, HTMLCSS, iOS, Android, Git"
(주)캐처스,React/React Native 개발,"JavaScript, TypeScript, React, Native, webgl"
버터소프트 주식회사,백엔드 개발자,"Java, Kotlin, Spring, Boot, PostgreSQL, MySQL, JPA, querydsl, Docker, Git"
(주)딜러타이어,B2B B2C 서비스 앱 개발자,"React, Native, reactquery, zustand, Git"
Enssel,[채용공고]Enssel2023 부분별 개발자 정규직 채용,Python
(주)탄소중립연구원,[전환형 인턴] 탄소회계 솔루션 웹 프론트엔드 개발자,"Vuejs, React, GraphQL, TypeScript"
런치팩 주식회사,"[런치팩_풀스택] 테마, 서비스 부분수정 개발(리드급)","Vuejs, Django"
주식회사 사각,AI Researcher/Data Scientist(경력 2년 이상),"Python, Tensorflow, PyTorch, LLM, SQL"
(주)알로카도스,React-Native 스태프 엔지니어,"React, Native, TypeScript, Swift, ObjectiveC, Kotlin, JavaScript, Java"
(주)누아,웹(Web) 백엔드 개발자,"Java, springframework"
와탭랩스,백엔드 에이전트 개발자(Node.js),"Nodejs, SQL, DBMSRDBMS, MSA"
뷰메진,[뷰메진]로보틱스 엔지니어 Lead (경력 3년 이상),"Linux, C++, Git, Python"
해줌,데이터사이언티스트,"Python, Tensorflow, PyTorch, R, Tableau"
