company_name,position,skill
버추얼랩,프론트엔드 개발자,"Vue.js, Bootstrap, Nuxt.js, Vuetify"
페이워크,React/React Native 프론트엔드 개발자,"HTML5, CSS 3, JavaScript, React, React Native, redux-saga, TypeScript, Node.js, MySQL"
데이터메이커,웹 그래픽(F/E) 개발자 (5년 ~ 10년),"JavaScript, Babel, React, REST API, Nuxt.js, Webpack, HTML5, Vue.js, CSS 3, AngularJS"
모멘티,에이전시 프론트엔드 개발자 채용 [강남구/팀장],"HTML5, CSS 3, JavaScript, Bootstrap, React, React Native, iOS, Android OS, Flutter, Vue.js"
모멘티,에이전시 프론트엔드 개발자 채용 [강남구],"HTML5, CSS 3, JavaScript, Bootstrap, React, React Native, iOS, Android OS, Flutter, Vue.js"
와탭랩스,프론트엔드 개발자,React
펫박스,이커머스 풀스템 팀장 앱웹,"React Native, Next.js, TypeScript, Kotlin, Java, Amazon CloudFront, PostgreSQL, Firebase"
학교종이,프론트엔드 개발자 (신입/경력),"Angular 2, Ionic, TypeScript, RxJS, TailwindCSS, Firebase"
커넥트웨이브,[스윗트래커]프론트엔드개발(5년 이상),"JavaScript, jQuery, Vue.js, React, Django REST framework, Spring Boot, MSSQL, DB"
뷰런테크놀로지,Frontend Developer(프론트엔드 개발자),"JavaScript, TypeScript, Vue.js"
세나클,"Windows Client(C#, WPF) 개발","C#, .NET, Git, WPF"
슈프리마,얼굴인식 서버 풀스택 소프트웨어 개발자,"C++, Go"
라쿠카라차,"플러터 프론트엔드개발자(주35시간, 4.5일)",Flutter
라쿠카라차,리액트 프론트엔드 (주 35시간/4.5일),React
미리비트,"SmartFX 기반 C#, Java 개발자","C#, Java, Oracle, SQL"
아이헤이트플라잉버그스,React 프론트엔드 개발자 (5년 이상),"TypeScript, GraphQL, React, Apollo, Next.js, Storybook"
위에이알,[SimpleSeed] 프론트엔드 개발자 채용,"TypeScript, React, Next.js, Flutter, REST API, Git, React Native"
플래티어,[ECS사업부문] 어플리케이션 아키텍트,"AWS, AZURE, Azure DevOps, Python, JavaScript, Spring, GitLab, QueryDSL"
플래티어,[그루비 SaaS 솔루션] AI 엔지니어,"Python, R, TensorFlow, PyTorch, NLP, AWS, GCP"
유비퍼스트대원,Frontend developer,"Java, Kotlin, Spring Boot, CSS 3, Vue.js, React, OpenAPI"
리비바이오,프론트엔드 개발자,"NestJS, React, Zustand, Recoil"
버블콘,프론트엔드 개발자,"CSS 3, JavaScript, React, Vue.js, TypeScript"
한솔피엔에스,프론트엔드 개발자 경력 채용,"Vue.js, React, Nuxt.js, Next.js, CSS 3, JavaScript, Git"
리비바이오,[병역특례]프론트엔드 산업기능요원,"JavaScript, React, Node.js, jQuery"
아이쿠카,프론트엔드 개발자 (경력 1년 이상),"JavaScript, React, React Native, Java, HTML5, CSS 3"
딥노이드,[의료R&D본부] 프론트엔드 개발 PL,"React, REST API, TypeScript, JavaScript, DICOM"
스마트푸드네트웍스,Frontend 개발자,"Next.js, React Query, Jotai, TailwindCSS, TypeScript, pnpm, Webpack"
이노웍스,웹프로그램(Node.js) 개발 및 유지보수,"Node.js, HTML5, CSS 3, JavaScript, jQuery, AWS, SQL, Git, REST API"
랜딩,React 프론트엔드 개발자,"React, TypeScript, Next.js, AWS, Zustand, React Query, Storybook, Supabase"
서울거래,JavaScript 프론드엔드 개발자 채용,"Java, HTML5, CSS 3, jQuery, Django, Python, AWS, REST API, JavaScript"
크레스콤,프론트엔드 개발자 채용,"CSS 3, JavaScript, React, Vue.js, Angular 2, HTML5, Linux, Docker, Python"
쓰리아이,Frontend Developer (프론트엔드 개발자),"TypeScript, Vue.js, WebRTC, React, WebGL, three.js, Confluence, Jira, Git"
보스반도체,SOC TOP Design Enginer,"ARM, Verilog, Python, C++, OpenCV, FPGA, TypeScript, Linux, React, Redux"
에피소든,프론트엔드 개발자,"React, Next.js, TypeScript, WebRTC, React Native"
딜리버리랩,프론트엔드 개발자 채용,"Vue.js, Java, JavaScript, HTML5, jQuery, JSP, PHP, MySQL, AWS"
휴런,Front-end 개발자 채용,"JavaScript, TypeScript, React"
잇올,프론트엔드 개발자 주니어 채용 [본사],"Yarn, React, Next.js, TypeScript, React Query, Zustand, REST API, JSON, GCP, AWS"
아이브,Frontend Engineer,"React, Next.js, TypeScript, JavaScript, CSS 3, HTML5, REST API, Git"
코그넷나인,프론트엔드개발자,"React, JavaScript"
롯데이노베이트,SaaS설계(HR) 계약직 채용,"DB, SQL"
베스텔라랩,App(React Native) 개발자(전문연구요원가능),"Python, Spring Framework, AWS, React, Git, GitHub, Linux, PHP, Swift, Kotlin"
잇올,프론트엔드 개발자 시니어 채용 [본사],"Yarn, React, Next.js, TypeScript, React Query, Zustand, REST API, JSON, AWS, AZURE"
부지런컴퍼니,"모바일 앱개발자(Flutter,ReactNative)","React Native, Flutter, Java, Kotlin, JavaScript, Swift"
슈프리마,경영정보시스템 개발/운영 담당자,"React, Vue.js"
아이디벨롭,프론트엔드 개발자 경력직 채용,"HTML5, CSS 3, JavaScript, React Native"
세라크래프트,React.js 웹 개발자 모집(경력 3~6년),"React.js Boilerplate, NGINX, Django, WebGL, Redux, Python, PostgreSQL, GUI, three.js, Google Cloud Storage"
카플,풀스택 웹 개발자/이커머스 자동화 대시보드 개발,"React, Node.js, AWS, Amazon EC2, Python"
아이엠아이,웹(Front-End) 개발자 채용 (근무지/전주),"PHP, MySQL, Git, Jira, Redis, HTML5, CSS 3, JavaScript, TypeScript, React Native"
채비,S/W팀(UI업무 경력자 채용),"Linux, C#, WPF, Java, Android OS, SW"
엔엑스,프론트엔드 개발자(서울),"HTML5, CSS 3, JavaScript, React, Next.js, ES6, TypeScript"
아주큐엠에스,Java 개발자 책임급,"Java, JavaScript, jQuery, Oracle, MSSQL, Spring Framework"
유니온커뮤니티,소프트웨어개발 및 유지보수 경력 모집,"Java, REST API, DB, Spring, React"
세라크래프트,React.js 웹 개발자 모집(경력 7~10년),"React.js Boilerplate, NGINX, Django, WebGL, Redux, Python, PostgreSQL, GUI, three.js, Google Cloud Storage"
에프엘이에스,프론트엔드 개발자 경력직 채용,"Node.js, Java, AWS, React.js Boilerplate"
엔엑스,프론트엔드 개발자(울산),"HTML5, CSS 3, JavaScript, React, Next.js, ES6, TypeScript"
인투씨엔에스,[경력] 프론트엔드 개발자 채용,"JavaScript, HTML5, CSS 3, Vue.js, React Native"
엔엑스,"EMS, BEMS, FEMS 개발자","REST API, Mfc, C++, Linux, JavaScript, MySQL, Spring Framework, AWS, React, jQuery"
에너지엑스,풀스택 기술 리더 개발 팀장 채용,"Java, Spring Boot, Gradle, Hibernate, TypeScript, React, Next.js, HTML5, CSS 3, React Query"
비즈톡,카카오톡 상담톡/챗봇 서비스 개발자,"C++, C"
엘리펀트키즈에듀테인먼트,전산팀 앱개발 신입 채용,"Java, Linux, Oracle"
엘리펀트키즈에듀테인먼트,웹개발자 신입채용,"JavaScript, Node.js, React, Vue.js, ASP.NET"
엘리펀트키즈에듀테인먼트,프론트엔드 개발자 신입채용,"JavaScript, TypeScript"
엔에이치엔링크,티켓링크 프론트엔드 개발 (5년이상),"JavaScript, TypeScript, HTML5, CSS 3, React, jQuery, Jotai, pnpm, Vite, Webpack"
에이치에너지,모햇 서비스 프론트엔드 개발,"JavaScript, CSS 3, HTML5, MySQL, Vue.js, Linux, Python"
