company_name,position,skill
데일리펀딩,프론트엔드 개발자,"React, Java, HTML/CSS, Git, TypeScript, Sass, Next.js"
스윗코리아,프론트엔드 개발자 (Front-end Developer),Angular
세나클소프트,[경력] Windows Client(C# WPF) 개발,"C#, .NET, Git, wpf"
한솔코에버주식회사,JAVA 개발자 경력직 채용,"Java, Vue.js, JPA, Spring, Spring Boot"
주식회사 시크한,Back-end 개발자 채용 공고,"NestJS, Spring Boot, Google Cloud Platform, GraphQL, PostgreSQL, REST API"
(주)다날,다날 결제시스템 FE개발 경력 채용,"HTML/CSS, React, Vue.js, JavaScript, Spring, PHP, Python"
(주)패스트레인,프론트엔드 개발자,"JavaScript, TypeScript, React, Next.js, zustand, react-query, Git, github-actions, Figma, JIRA"
주식회사 비피엘파트너스,구독형 버티컬 인재 매칭 플랫폼,"Flutter, Firebase, Git, JIRA"
(주)탄소중립연구원,[전환형 인턴] 탄소회계 솔루션 웹 프론트엔드 개발자,"Vue.js, React, GraphQL, TypeScript"
휴스테이션,프론트엔드 개발자,"React, HTML/CSS, JavaScript, JIRA"
버터소프트 주식회사,프론트엔드 개발자,"React, Next.js, TailWindCSS, React Native"
(주)퍼브,(주)퍼브 솔루션개발팀 개발자 정규직 채용,"Java, JavaScript, SQL"
(주)디에스랩글로벌,풀스택 개발자,"React, HTML/CSS, FastAPI, Django"
21세기전파상,개발 총괄 [CTO],"Git, Github, AWS, MySQL, SQL, JavaScript, React, React Native, Node.js"
주식회사 원아이소프트,의류전문 물류 시스템 개발 총괄 CTO 급 PL포지션,"딥러닝, Tensorflow, Linux, Vue.js, Java"
(주)크라우드웍스,[크라우드웍스] AI솔루션팀 Full-stack 개발자,"Python, Java, JavaScript, React, RAG, Linux"
휴레이포지티브,프론트엔드 개발자 (Lead),"TypeScript, Tensorflow, JavaScript, React, vue, Angular"
주식회사 더블유쓰리컴퍼니,글로벌 앱 서비스 프론트엔드 개발자 채용,"React, React Native, Redux, redux-toolkit, zustand, JavaScript, TypeScript, Kotlin, Swift"
(주)크라우드웍스,[크라우드웍스] AI플랫폼팀 Full-stack 개발자(Junior),"Java, Python, https, restful, Linux, LLM, RAG, 머신러닝"
주식회사 트라이포드랩,트라이포드랩에서 함께 성장해나갈 리드 개발자를 모십니다.,"Java, Spring Boot, NestJS, React, AWS, DBMS/RDBMS"
주식회사 페칭,[페칭] 패션 플랫폼 React 프론트엔드 개발자 경력직,"React, React Native, nextjs, tailwind-css, Redux"
찾아줘부동산,플러터 개발자 or 프론트 개발자 모십니다.,Flutter
(주)알로카도스,React-Native 스태프 엔지니어,"React Native, TypeScript, Swift, Objective-C, Kotlin, JavaScript, Java"
(주)유니드,"프론트엔드/백엔드 개발자(Vue, Python, Java)","Vue.js, Flutter, Python, PHP, MySQL, Java"
마이플레이컴퍼니,개발팀 리더,"Python, Django-REST-Framework, Django, AWS, aws-ec2, Lambda, 애자일, 리팩토링"
TIM Robotics,React.JS (Next.JS) 프론트엔드 엔지니어,"react.js, Next.js, TypeScript, TypeORM"
(주)인터프로커뮤니케이션,[인터프로인디고] 웹 사이트 개발자 모집,"PHP, HTML/CSS, JavaScript"
(주)얼라이언스인터넷,Alliance Internet 커머스랩 개발자 채용 공고,"Next.js, FastAPI, PostgreSQL, Redis, LLM"
해줌,프론트엔드 개발 팀장,"HTML/CSS, JavaScript, React, Vue.js"
(주)애즈랜드,프론트엔트/백엔드,"PHP, JavaScript, jQuery, Ajax, MySQL"
베링랩,프론트엔드 개발자,"React, TypeScript, 동시성, Next.js, frontend"
(주)누아,웹(Web) 프론트엔드 개발자,TypeScript
슬릭코퍼레이션,Front-end Engineer,"React, TypeScript, Jest, Webpack, JavaScript, Flutter, Next.js, Parcel"
주식회사 제로엑스플로우,Frontend Engineer(5년 이상),"React, JavaScript"
(주)드래프타입,웹/프론트엔드 개발자 (3년 이상),"Git, GitHub, AWS, TypeScript, HTML/CSS, JavaScript, REST API, swagger"
프록시펙토리,프론트엔드 개발자,"React, React Native, HTML/CSS"
(주)두비스,"신입직원 - 웹/앱 프로그래머, 응용프로그래머","Android, iOS"
프로베디,앱테크 서비스 관련 APP 프런트엔드 개발 (Flutter) - 프리랜서,"Flutter, MVVM, grpc, GitHub"
