company,position,skill
쉬모스랩,자연어처리 엔지니어 채용,"SQL, PostgreSQL, Python, Azure, DevOps, Git, Linux, AI, Docker, Kubernetes, REST, API"
지엔에이컴퍼니,엔지니어링 매니저(6~10년),"AWS, Amazon, EC, S, TypeScript, Python"
프리윌린,매쓰플랫 백엔드 개발자 채용(6년 이상),"TypeScript, AWS, Spring, RDB, Kotlin"
펜타시큐리티,인증보안 백엔드 개발자,"Spring, Boot, Java, MariaDB, Mybatis"
아이스크림아트,AI연구팀장 경력7~9년,"MySQL, PostgreSQL, REST, API, Prisma, Python, AWS, React, AI, Flow, Nodejs"
콘센트릭스서비스코리아,[Catalyst] AEM 개발자 또는 기획자,"Adobe, Experience, Manager"
엠투피아이,PHP 웹개발자 채용 (경력 6~8년),"PHP, MySQL, Apache, Tomcat, Linux, Laravel, XML, CSS, JavaScript, jQuery"
에스투더블유,Data Engineer(Knowledge Engineering),"Docker, Hadoop, Kubeflow, Git, MongoDB, Kubernetes, Jenkins, Argo, PyTorch, Kafka"
잇다반도체,Verification 담당자 (3년 이상),"Python, Playwright, Cypress, GUI, JavaScript"
아이디어스투실리콘,Verification Engineer/분당R&D,"Verilog, ASIC, Perl, TCPIP, Python, C++, C#, VHDL, FPGA"
씨드앤,데이터 엔지니어(3~5년),"Linux, Kafka, AWS, AZURE, Java"
이마고웍스,BE Engineer,"TypeScript, NestJS, MongoDB, NoSql, AZURE, AWS, Rust"
올거나이즈코리아,Python Back-end Enginner,"Python, Backendless"
제논,[인공지능솔루션] Backend Engineer,"Docker, Python, FastAPI, GitHub, Django, Jira, NoSql, Flask, Linux"
블록체인글로벌,Front-End 엔지니어 (6년~8년),"JavaScript, Vuejs, React, TypeScript, Git"
긴트,모터제어 엔지니어(6~10년차),"C, C++, SW, Embedded"
팜클,SW 개발 PM(Project Manager) 대리급,"Python, AWS, Git, iOS, Linux, Android, OS, C++, C"
제논,[인공지능솔루션] Search Engineer,"Elasticsearch, Docker, Python, Kubernetes"
리브스메드,로봇제어Engineer:Senior(과장-부장)[박사급],"C++, Python, Git, Notion, Jira, C, MATLAB, SW"
이마고웍스,Solution Developer,"Figma, Confluence, Jira"
올거나이즈코리아,[일본근무] DevOps Engineer,"Docker, Django, NGINX, Redis, GraphQL, AWS, GCP, AZURE, Linux"
프리윌린,Tech Innovation 워킹그룹 풀스택 개발,"TypeScript, AWS, Spring, RDB, Kotlin"
블록체인글로벌,Front-End 엔지니어(9년 이상),"JavaScript, Vuejs, React, TypeScript, Git"
알로카도스,시니어 클라우드 인프라 엔지니어 채용,"Terraform, MongoDB, Amazon, DynamoDB, Kafka, Ansible, AWS, Kubernetes, Redis, Python"
리브스메드,Robotics/SW Engineer:제어알고리즘(1),"C++, Python, Git, Notion, Jira, C, MATLAB, SW"
토르드라이브,센서 칼리브레이션 엔지니어 채용,"C++, ROS, Python, OpenCV"
오픈엣지테크놀로지,[DRAM PHY]SiliconValidation Engineer,"C, Python"
이마고웍스,CAD Engineer - 전문연구요원 가능,"TypeScript, C++, CMake, OpenGL"
쉬모스랩,데이터 엔지니어 채용,"SQL, PostgreSQL, Python, Azure, DevOps, Git, Docker, REST, API, gRPC, AWS, AZURE"
에이알티플러스,환경 에너지 플랫폼 개발 PL,"Java, JavaScript, DB, SQL, Spring, Framework, Boot, Docker, BigData, Jenkins, Linux"
오픈엣지테크놀로지,[Network-on-Chip]RTL Design Engineer,"Verilog, C, Python"
에스투더블유,Data Engineer (포트 스캐너 개발),"Git, MongoDB, Python, Docker, Kubernetes, RabbitMQ, Go, C, Linux"
에이아이트릭스,Sr. Backend Engineer,"MongoDB, Golang, MySQL, Python"
에이알티플러스,환경 에너지 플랫폼 AI 엔지니어,"BigData, AI, Docker, Hadoop, Pandas, Python, PyTorch, R, TensorFlow"
에프알텍,통신장비 시스템 h/w  개발자,PCB
마이노멀컴퍼니,[인아웃] 프론트엔드 개발자 (3년 이상),"React, Native, TypeScript, Nextjs, Query, Docker"
불마켓랩스(BullMarketLabsCo.Ltd.),Back-End Engineer,"Kotlin, Spring, Boot, Go, Python, Java, MySQL, Apache, RocketMQ, Kubernetes, Rust, Kafka"
스콥정보통신,리눅스서버 SW 개발자 채용,"C, C++, Linux, TCPIP, L, Go, Python"
싸이터,백엔드 개발자 채용 (5년 이상),"Spring, Boot, Kubernetes, MySQL, Kafka, Elasticsearch, REST, API, MSA, AWS, Java"
넥스트랩,AI 개발자 (LLM),"MachineLearning, Python, PyTorch, TensorFlow, OpenCV, MATLAB, Kubeflow, REST, API, Embedded"
알로카도스,React-Native 스태프 엔지니어 채용,"JavaScript, Kotlin, TypeScript, iOS, Swift, Java, React, Native, ObjectiveC"
알로카도스,시니어 파이썬 백엔드 엔지니어 채용,"AWS, Django, Python, MongoDB, Kubernetes, FastAPI, Flask, Amazon, DynamoDB, Redis, Docker"
콘센트릭스서비스코리아,[Catalyst]사이트운영(장애인특별전형),"Magento, MySQL, PHP, Nodejs, Linux, MongoDB, Git"
콘센트릭스서비스코리아,[Catalyst]AI 개발자(장애인 특별전형),"Python, AI, C++, DeepLearning, PyTorch, C, Linux, AZURE, AWS"
휴머스온,Network Engineer,"MySQL, Linux, Java, Oracle, Cisco"
에스투더블유,Frontend Engineer 시니어(Product 3),"TypeScript, SCSS, Angular, RxJS, NGINX, Git, Docker, Kubernetes"
에스티씨랩,빅데이터 엔진 개발,"Go, Python"
이마고웍스,Software QA Engineer,QA
넥스트랩,임베디드 리눅스 S/W 개발자,"Embedded, Linux, Network, Python, C++"
오엠티아이코리아,ASP.NET 중급 개발자 모집,"ASPNET, JavaScript, jQuery, CSS, HTML, Microsoft, SQL, Server, AZURE, Spring, MVC"
지엔에이컴퍼니,엔지니어링 매니저(3~5년),"AWS, Amazon, EC, S, TypeScript, Python"
콘센트릭스서비스코리아,[Catalyst]글로벌앱 Tagging개발/운영,"Google, Tag, Manager, HTML, JavaScript, Flutter, BI, Ads, Analytics, Android, OS, iOS"
링네트,[안양 상주] 네트워크 엔지니어 정규직,"Network, L, Router, Switch, Cisco"
제이앤피메디,시니어 프론트엔드 SW Engineer,"JavaScript, MSA, TypeScript, React, Sass, JSX, GitHub, Actions"
제이앤피메디,시니어 백엔드 SW Engineer,"TypeScript, MSA, MySQL, Nodejs, AWS, GitHub, Actions, JavaScript"
오픈엣지테크놀로지,[NPU] Linux Device Driver Engineer,"Linux, C, C++, TensorFlow, PyTorch"
로민,솔루션운영 엔지니어 (5년 이상),"Python, Java, PostgreSQL, NGINX, Docker, Kubernetes, Linux, Ubuntu"
지엔에이컴퍼니,[플레이오] Python 백엔드(6~10),"Python, REST, API, AWS, MySQL, GitHub, Docker, Swarm, FastAPI"
링네트,네트워크 엔지니어 정규직 채용,"Network, L, Router, Switch, Cisco"
