company,position,skill
(주)컨두잇,백엔드 개발자,"Java, Spring, Boot, PostgreSQL, JPA, AWS, JUnit, Mockito, Git"
인프랩 (인프런),[인재풀] 전 직군,"MSOffice, Slack"
클라썸,QA 인턴,"Google, Sheets, Figma, SQL, postman"
하나투어,DBA 경력직원 채용 공고,"Oracle, PostgreSQL, MariaDB"
SK(주) C&C,"제2금융권(보험,증권) 서버 운영 업무 수행 구성원 영입","Windows, Server"
이지식스(엠블),[TADA] Android Engineer,"Kotlin, Android, MVVM, RxJava"
(주)다날,다날 정보시스템 개발 경력 채용,"Oracle, MSSQL, SQL, Spring, Batch, REST, API"
브랜디,데브옵스 엔지니어 (DevOps Engineer),"AWS, Python, bash, Terraform, infrastructure, helm"
올거나이즈코리아주식회사,[AI Startup] AI Researcher/Engineer,"Tensorflow, NLP, Keras"
아파트아이,JAVA 백엔드 (대리급) / 5~8년,"Java, Spring, JavaScript, jQuery"
(주)디랙스,AWS 소프트웨어 개발자 모집,"Java, Spring, MySQL, AWS, Android, iOS, JSP"
(주)오메타,안드로이드 개발자,"Android, Java, Kotlin, MVC"
(주)오메타,iOS 개발자,"iOS, Swift, Java, MVC"
와탭랩스,솔루션 엔지니어 / IT 성능 컨설턴트,"Java, AWS, Kubernetes"
(주)뷰런테크놀로지,시스템 SW 엔지니어,"C, C++, Qt, tcpip, multithread"
아파트아이,프론트엔드 개발자 (React.JS_주니어),"RxJS, React, NET, Vuejs, DBMSRDBMS, jQuery"
씨드앤,백엔드 개발자 (5년 이상~10년 이하),"JavaScript, Java, Nextjs, NestJS, expressjs"
주식회사 원더베리,소프트웨어 엔지니어,"C, C++, Unity, Unreal, Engine"
(주) 딥노이드,프론트엔드 개발자,"React, TypeScript, JavaScript, SPA, Angular"
주식회사 원더베리,데브옵스 엔지니어,"AWS, Google, Cloud, Platform, Azure, Docker, Kubernetes, CICD, REST, API, GraphQL, Nodejs"
해줌,데이터사이언티스트,"Python, Tensorflow, PyTorch, R, Tableau"
오비맥주,[ABInBev Korea 오비맥주] BEES Product Engineer,Access
하이프로토콜,[Web3] 크로스체인 프로토콜 프론트엔드 시니어 개발자 채용,"TypeScript, React, Redux, reactquery, Nextjs, websockets"
데이터메이커,프론트엔드 개발자,"JavaScript, ES, Rust, Vuejs, Nuxtjs, Threejs, Github, Notion, Jetbrains, ChatGPT"
이수시스템,[이수그룹] IT기업 MS365 담당 및 네트워크 운영자 함께 해요!,"Teams, MSOffice"
주식회사 사각,AI Researcher/Data Scientist(경력 2년 이상),"Python, Tensorflow, PyTorch, LLM, SQL"
리빌더AI,프런트엔드 개발자,"JavaScript, Java, HTMLCSS, TypeScript"
데일리펀딩,프론트엔드 개발자,"React, Java, HTMLCSS, Git, TypeScript, Sass, Nextjs"
이수시스템,[이수시스템] 인사솔루션 개발자,"Java, JavaScript, Oracle, JSP, Spring, Vuejs"
Enssel,[채용공고]Enssel2023 부분별 개발자 정규직 채용,Python
데일리펀딩,백엔드 개발자,"Python, MySQL, PostgreSQL, REST, API, Github, PHP"
브랜드 인게이지먼트 네트워크 인크,AI 환경 잡음 대응 기술 개발자,"Swift, Docker, websockets, grpc, rabbitmq"
패스트뷰,DevOps Engineer (3년 이상),"AWS, bitnami, Shell, Script, PHP, Python"
중고나라,SRE DevOps 엔지니어(경력),"AWS, Kubernetes, Terraform, helm, GitHub, Docker, container, devops, cloudcomputing, CICD"
(주)탄소중립연구원,[Net-Zero 선도기업_탄소중립연구원]서비스 운영 지원 백엔드 개발자,"JavaScript, TypeScript, Nodejs, NestJS, ORM, Prisma, TypeORM, PostgreSQL, Docker, awsec"
스윗코리아,프론트엔드 개발자 (Front-end Developer),Angular
세나클소프트,[경력] Windows Client(C# WPF) 개발,"C#, NET, Git, wpf"
(주)에스아이에이,DevOps Engineer (3년 이상),"Terraform, helm, Kubernetes, eks, AWS, Google, Cloud, Platform, PostgreSQL, Redis, githubactions"
휴레이포지티브,안드로이드 개발자(경력),"RxJava, Jetpack, Kotlin, Java, Android"
씨드앤,데이터 엔지니어 (3년 이상),"Java, Kafka, AWS, Azure, Linux"
(주)에이티앤피파트너즈,백엔드 개발자 경력 2년 이상,"Java, Spring, Boot, PostgreSQL, Redis, JPA, querydsl, Linux, AWS, IntelliJ, IDEA, GitHub"
휴머스온,통합 메시징 및 AI 기반 서비스 개발자,"Spring, Boot, MySQL, Oracle, Redis, Kafka, Java, REST, API, AWS, Google, Cloud, Platform, Azure"
CLASS101,백엔드 개발자,"Java, Kotlin, Spring, Boot, Kubernetes, TypeScript, Nodejs"
한솔코에버주식회사,JAVA 개발자 경력직 채용,"Java, Vuejs, JPA, Spring, Boot"
주식회사 시크한,Back-end 개발자 채용 공고,"NestJS, Spring, Boot, Google, Cloud, Platform, GraphQL, PostgreSQL, REST, API"
올거나이즈코리아주식회사,[AI Startup] 파이썬 백엔드 엔지니어,"Docker, Django, Python, Keras"
주식회사 파워테스크,AI Engineer,"LLM, Python, RAG, AI, Agent"
(주)필라넷,(주)필라넷 생성형 AI 애플리케이션 개발자 채용,"Python, Nodejs, TypeScript, Azure, AI, Teams, Microsoft, Copilot"
오드컨셉주식회사,데이터 엔지니어,"JavaScript, HTMLCSS, React, Vuejs, Git, Python"
(주)다날,다날 결제시스템 FE개발 경력 채용,"HTMLCSS, React, Vuejs, JavaScript, Spring, PHP, Python"
메이븐클라우드서비스 주식회사,데이터엔지니어/PM,"sqlquery, R, Python"
(주)패스트레인,프론트엔드 개발자,"JavaScript, TypeScript, React, Nextjs, zustand, reactquery, Git, githubactions, Figma, JIRA"
